symbol,quantity,cost_basis,price,market_value,pnl,pnl_pct,date
NATIONALUM,4,1684.2,414.0,1656.0,-28.2,-1.67,2026-06-04
HINDCOPPER,3,1630.05,541.4,1624.2,-5.85,-0.36,2026-06-04
MCX,1,2896.7,2893.5,2893.5,-3.2,-0.11,2026-06-04
VEDL,6,1967.1,327.5,1965.0,-2.1,-0.11,2026-06-04
RBLBANK,5,1743.5,353.75,1768.75,25.25,1.45,2026-06-04
RBLBANK,5,1743.5,351.35,1756.75,13.25,0.76,2026-06-05
MCX,1,2896.7,2795.0,2795.0,-101.7,-3.51,2026-06-05
VEDL,6,1967.1,315.6,1893.6,-73.5,-3.74,2026-06-05
NATIONALUM,4,1684.2,395.7,1582.8,-101.4,-6.02,2026-06-05
HINDCOPPER,3,1630.05,526.35,1579.05,-51.0,-3.13,2026-06-05
NATIONALUM,4,1684.2,378.2,1512.8,-171.4,-10.18,2026-06-08
HINDCOPPER,3,1630.05,506.15,1518.45,-111.6,-6.85,2026-06-08
MCX,1,2896.7,2823.8,2823.8,-72.9,-2.52,2026-06-08
VEDL,6,1967.1,304.25,1825.5,-141.6,-7.2,2026-06-08
RBLBANK,5,1743.5,344.95,1724.75,-18.75,-1.08,2026-06-08
RBLBANK,5,1743.5,361.0,1805.0,61.5,3.53,2026-06-09
VEDL,6,1967.1,306.25,1837.5,-129.6,-6.59,2026-06-09
NATIONALUM,4,1684.2,383.9,1535.6,-148.6,-8.82,2026-06-09
HINDCOPPER,3,1630.05,519.6,1558.8,-71.25,-4.37,2026-06-09
MCX,1,2896.7,2824.8,2824.8,-71.9,-2.48,2026-06-09
NATIONALUM,4,1684.2,376.15,1504.6,-179.6,-10.66,2026-06-10
HINDCOPPER,3,1630.05,510.7,1532.1,-97.95,-6.01,2026-06-10
MCX,1,2896.7,2743.8,2743.8,-152.9,-5.28,2026-06-10
VEDL,6,1967.1,299.3,1795.8,-171.3,-8.71,2026-06-10
RBLBANK,5,1743.5,356.95,1784.75,41.25,2.37,2026-06-10
NATIONALUM,4,1684.2,370.6,1482.4,-201.8,-11.98,2026-06-11
HINDCOPPER,3,1630.05,499.25,1497.75,-132.3,-8.12,2026-06-11
MCX,1,2896.7,2778.8,2778.8,-117.9,-4.07,2026-06-11
VEDL,6,1967.1,304.9,1829.4,-137.7,-7.0,2026-06-11
RBLBANK,5,1743.5,359.1,1795.5,52.0,2.98,2026-06-11
RBLBANK,5,1743.5,365.85,1829.25,85.75,4.92,2026-06-12
MCX,1,2896.7,2853.0,2853.0,-43.7,-1.51,2026-06-12
VEDL,6,1967.1,309.65,1857.9,-109.2,-5.55,2026-06-12
NATIONALUM,4,1684.2,376.85,1507.4,-176.8,-10.5,2026-06-12
HINDCOPPER,3,1630.05,510.0,1530.0,-100.05,-6.14,2026-06-12
NATIONALUM,4,1684.2,381.55,1526.2,-158.0,-9.38,2026-06-15
HINDCOPPER,3,1630.05,524.95,1574.85,-55.2,-3.39,2026-06-15
MCX,1,2896.7,2855.0,2855.0,-41.7,-1.44,2026-06-15
VEDL,6,1967.1,305.45,1832.7,-134.4,-6.83,2026-06-15
RBLBANK,5,1743.5,372.35,1861.75,118.25,6.78,2026-06-15
NATIONALUM,4,1684.2,366.65,1466.6,-217.6,-12.92,2026-06-16
HINDCOPPER,3,1630.05,511.75,1535.25,-94.8,-5.82,2026-06-16
MCX,1,2896.7,2885.4,2885.4,-11.3,-0.39,2026-06-16
VEDL,6,1967.1,299.95,1799.7,-167.4,-8.51,2026-06-16
RBLBANK,5,1743.5,369.7,1848.5,105.0,6.02,2026-06-16
RBLBANK,5,1743.5,369.2,1846.0,102.5,5.88,2026-06-17
MCX,1,2896.7,2857.3,2857.3,-39.4,-1.36,2026-06-17
VEDL,6,1967.1,306.5,1839.0,-128.1,-6.51,2026-06-17
NATIONALUM,4,1684.2,370.0,1480.0,-204.2,-12.12,2026-06-17
HINDCOPPER,3,1630.05,515.2,1545.6,-84.45,-5.18,2026-06-17
NATIONALUM,4,1684.2,367.75,1471.0,-213.2,-12.66,2026-06-18
HINDCOPPER,3,1630.05,509.7,1529.1,-100.95,-6.19,2026-06-18
MCX,1,2896.7,2817.2,2817.2,-79.5,-2.74,2026-06-18
VEDL,6,1967.1,306.0,1836.0,-131.1,-6.66,2026-06-18
RBLBANK,5,1743.5,369.25,1846.25,102.75,5.89,2026-06-18
HINDCOPPER,3,1630.05,511.15,1533.45,-96.6,-5.93,2026-06-19
NATIONALUM,4,1684.2,376.0,1504.0,-180.2,-10.7,2026-06-19
MCX,1,2896.7,2803.8,2803.8,-92.9,-3.21,2026-06-19
VEDL,6,1967.1,300.8,1804.8,-162.3,-8.25,2026-06-19
RBLBANK,5,1743.5,378.85,1894.25,150.75,8.65,2026-06-19
MCX,1,2896.7,2870.4,2870.4,-26.3,-0.91,2026-06-22
VEDL,6,1967.1,305.85,1835.1,-132.0,-6.71,2026-06-22
NATIONALUM,4,1684.2,377.95,1511.8,-172.4,-10.24,2026-06-22
HINDCOPPER,3,1630.05,510.75,1532.25,-97.8,-6.0,2026-06-22
RBLBANK,5,1743.5,378.5,1892.5,149.0,8.55,2026-06-22
RBLBANK,5,1743.5,371.25,1856.25,112.75,6.47,2026-06-23
VEDL,6,1967.1,281.7,1690.2,-276.9,-14.08,2026-06-23
MCX,1,2896.7,2831.0,2831.0,-65.7,-2.27,2026-06-23
HINDCOPPER,3,1630.05,500.25,1500.75,-129.3,-7.93,2026-06-23
NATIONALUM,4,1684.2,355.4,1421.6,-262.6,-15.59,2026-06-23
NATIONALUM,4,1684.2,348.55,1394.2,-290.0,-17.22,2026-06-24
HINDCOPPER,3,1630.05,502.25,1506.75,-123.3,-7.56,2026-06-24
MCX,1,2896.7,2840.6,2840.6,-56.1,-1.94,2026-06-24
VEDL,6,1967.1,282.55,1695.3,-271.8,-13.82,2026-06-24
RBLBANK,5,1743.5,377.05,1885.25,141.75,8.13,2026-06-24
NATIONALUM,4,1684.2,332.15,1328.6,-355.6,-21.11,2026-06-25
HINDCOPPER,3,1630.05,491.4,1474.2,-155.85,-9.56,2026-06-25
MCX,1,2896.7,2831.7,2831.7,-65.0,-2.24,2026-06-25
VEDL,6,1967.1,273.45,1640.7,-326.4,-16.59,2026-06-25
RBLBANK,5,1743.5,371.05,1855.25,111.75,6.41,2026-06-25
VEDL,6,1967.1,273.45,1640.7,-326.4,-16.59,2026-06-26
MCX,1,2896.7,2831.7,2831.7,-65.0,-2.24,2026-06-26
RBLBANK,5,1743.5,371.05,1855.25,111.75,6.41,2026-06-26
NATIONALUM,4,1684.2,332.15,1328.6,-355.6,-21.11,2026-06-26
HINDCOPPER,3,1630.05,491.4,1474.2,-155.85,-9.56,2026-06-26
NATIONALUM,4,1684.2,347.4,1389.6,-294.6,-17.49,2026-06-29
HINDCOPPER,3,1630.05,496.2,1488.6,-141.45,-8.68,2026-06-29
MCX,1,2896.7,2914.5,2914.5,17.8,0.61,2026-06-29
VEDL,6,1967.1,284.55,1707.3,-259.8,-13.21,2026-06-29
RBLBANK,5,1743.5,363.8,1819.0,75.5,4.33,2026-06-29
RBLBANK,5,1743.5,369.05,1845.25,101.75,5.84,2026-06-30
VEDL,6,1967.1,280.75,1684.5,-282.6,-14.37,2026-06-30
MCX,1,2896.7,2837.2,2837.2,-59.5,-2.05,2026-06-30
NATIONALUM,4,1684.2,339.6,1358.4,-325.8,-19.34,2026-06-30
HINDCOPPER,3,1630.05,501.1,1503.3,-126.75,-7.78,2026-06-30
NATIONALUM,4,1684.2,334.65,1338.6,-345.6,-20.52,2026-07-01
HINDCOPPER,3,1630.05,490.6,1471.8,-158.25,-9.71,2026-07-01
MCX,1,2896.7,2962.0,2962.0,65.3,2.25,2026-07-01
VEDL,6,1967.1,275.55,1653.3,-313.8,-15.95,2026-07-01
RBLBANK,5,1743.5,361.8,1809.0,65.5,3.76,2026-07-01
RBLBANK,5,1743.5,355.5,1777.5,34.0,1.95,2026-07-02
VEDL,6,1967.1,276.1,1656.6,-310.5,-15.78,2026-07-02
HINDCOPPER,3,1630.05,494.95,1484.85,-145.2,-8.91,2026-07-02
NATIONALUM,4,1684.2,332.25,1329.0,-355.2,-21.09,2026-07-02
MCX,1,2896.7,2923.2,2923.2,26.5,0.91,2026-07-02
NATIONALUM,4,1684.2,347.6,1390.4,-293.8,-17.44,2026-07-03
HINDCOPPER,3,1630.05,499.2,1497.6,-132.45,-8.13,2026-07-03
MCX,1,2896.7,2814.0,2814.0,-82.7,-2.85,2026-07-03
VEDL,6,1967.1,280.4,1682.4,-284.7,-14.47,2026-07-03
RBLBANK,5,1743.5,361.1,1805.5,62.0,3.56,2026-07-03
RBLBANK,5,1743.5,368.6,1843.0,99.5,5.71,2026-07-06
NATIONALUM,4,1684.2,351.05,1404.2,-280.0,-16.63,2026-07-06
HINDCOPPER,3,1630.05,494.6,1483.8,-146.25,-8.97,2026-07-06
MCX,1,2896.7,2723.1,2723.1,-173.6,-5.99,2026-07-06
VEDL,6,1967.1,282.0,1692.0,-275.1,-13.99,2026-07-06
RBLBANK,5,1743.5,375.1,1875.5,132.0,7.57,2026-07-07
MCX,1,2896.7,2643.2,2643.2,-253.5,-8.75,2026-07-07
VEDL,6,1967.1,275.05,1650.3,-316.8,-16.1,2026-07-07
NATIONALUM,4,1684.2,342.55,1370.2,-314.0,-18.64,2026-07-07
HINDCOPPER,3,1630.05,495.45,1486.35,-143.7,-8.82,2026-07-07
FEDERALBNK,20,6515.0,326.55,6531.0,16.0,0.25,2026-07-08
LAURUSLABS,4,5857.2,1469.2,5876.8,19.6,0.33,2026-07-08
IDEA,479,6658.1,13.93,6672.47,14.37,0.22,2026-07-08
GRANULES,7,5989.9,859.55,6016.85,26.95,0.45,2026-07-08
GESHIP,4,5506.8,1375.1,5500.4,-6.4,-0.12,2026-07-08
CUMMINSIND,1,5491.5,5498.5,5498.5,7.0,0.13,2026-07-08
NAVINFLUOR,1,7350.0,7363.0,7363.0,13.0,0.18,2026-07-08
BHARATFORG,3,6258.6,2100.5,6301.5,42.9,0.69,2026-07-08
ADANIPOWER,30,6481.5,216.48,6494.4,12.9,0.2,2026-07-08
ADANIGREEN,4,5996.0,1504.6,6018.4,22.4,0.37,2026-07-08
MCX,2,5623.7,2742.0,5484.0,-139.7,-2.48,2026-07-08
HINDCOPPER,13,6498.55,487.25,6334.25,-164.3,-2.53,2026-07-08
NATIONALUM,19,6913.2,349.75,6645.25,-267.95,-3.88,2026-07-08
BHEL,17,6409.0,377.8,6422.6,13.6,0.21,2026-07-08
POLYCAB,1,9206.5,9234.0,9234.0,27.5,0.3,2026-07-08
NATIONALUM,19,6913.2,349.5,6640.5,-272.7,-3.94,2026-07-09
HINDCOPPER,13,6498.55,486.45,6323.85,-174.7,-2.69,2026-07-09
MCX,2,5623.7,2785.4,5570.8,-52.9,-0.94,2026-07-09
ADANIGREEN,4,5996.0,1486.6,5946.4,-49.6,-0.83,2026-07-09
ADANIPOWER,30,6481.5,216.32,6489.6,8.1,0.12,2026-07-09
BHARATFORG,3,6258.6,2130.6,6391.8,133.2,2.13,2026-07-09
BHEL,17,6409.0,381.6,6487.2,78.2,1.22,2026-07-09
CUMMINSIND,1,5491.5,5542.5,5542.5,51.0,0.93,2026-07-09
FEDERALBNK,20,6515.0,327.75,6555.0,40.0,0.61,2026-07-09
GESHIP,4,5506.8,1414.2,5656.8,150.0,2.72,2026-07-09
GRANULES,7,5989.9,882.05,6174.35,184.45,3.08,2026-07-09
IDEA,479,6658.1,14.04,6725.16,67.06,1.01,2026-07-09
LAURUSLABS,4,5857.2,1507.4,6029.6,172.4,2.94,2026-07-09
NAVINFLUOR,1,7350.0,7689.0,7689.0,339.0,4.61,2026-07-09
POLYCAB,1,9206.5,9074.0,9074.0,-132.5,-1.44,2026-07-09
